"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"030104a St. Hanshaugen";"31 years";1326
"030104a St. Hanshaugen";"32 years";1250
"030104a St. Hanshaugen";"33 years";1056
"030104a St. Hanshaugen";"34 years";981
"030104a St. Hanshaugen";"35 years";911
"030104a St. Hanshaugen";"36 years";816
"030104a St. Hanshaugen";"37 years";774
"030104a St. Hanshaugen";"38 years";649
"030104a St. Hanshaugen";"39 years";608
"030104a St. Hanshaugen";"40 years";538
"030104a St. Hanshaugen";"41 years";507
"030104a St. Hanshaugen";"42 years";493
"030104a St. Hanshaugen";"43 years";491
"030104a St. Hanshaugen";"44 years";451
"030104a St. Hanshaugen";"45 years";476
"030104a St. Hanshaugen";"46 years";416
"030104a St. Hanshaugen";"47 years";430
"030104a St. Hanshaugen";"48 years";391
"030104a St. Hanshaugen";"49 years";432
"030104a St. Hanshaugen";"50 years";425
"030104a St. Hanshaugen";"51 years";426
"030104a St. Hanshaugen";"52 years";413
"030104a St. Hanshaugen";"53 years";415
"030104a St. Hanshaugen";"54 years";353
"030104a St. Hanshaugen";"55 years";373
"030104a St. Hanshaugen";"56 years";359
"030104a St. Hanshaugen";"57 years";385
"030104a St. Hanshaugen";"58 years";309
"030104a St. Hanshaugen";"59 years";290
"030104a St. Hanshaugen";"60 years";264
"030104a St. Hanshaugen";"61 years";295
"030104a St. Hanshaugen";"62 years";283
"030104a St. Hanshaugen";"63 years";260
"030104a St. Hanshaugen";"64 years";269
"030104a St. Hanshaugen";"65 years";254
"030104a St. Hanshaugen";"66 years";245
"030104a St. Hanshaugen";"67 years";207
"030104a St. Hanshaugen";"68 years";199
"030104a St. Hanshaugen";"69 years";187
"030104a St. Hanshaugen";"70 years";177
"030104a St. Hanshaugen";"71 years";203
"030104a St. Hanshaugen";"72 years";172
"030104a St. Hanshaugen";"73 years";158
"030104a St. Hanshaugen";"74 years";172
"030104a St. Hanshaugen";"75 years";153
"030104a St. Hanshaugen";"76 years";186
"030104a St. Hanshaugen";"77 years";171
"030104a St. Hanshaugen";"78 years";130
"030104a St. Hanshaugen";"79 years";132
"030104a St. Hanshaugen";"80 years";96
"030104a St. Hanshaugen";"81 years";98
"030104a St. Hanshaugen";"82 years";80
"030104a St. Hanshaugen";"83 years";86
"030104a St. Hanshaugen";"84 years";82
"030104a St. Hanshaugen";"85 years";73
"030104a St. Hanshaugen";"86 years";47
"030104a St. Hanshaugen";"87 years";41
"030104a St. Hanshaugen";"88 years";35
"030104a St. Hanshaugen";"89 years";28
"030104a St. Hanshaugen";"90 years";37
"030104a St. Hanshaugen";"91 years";21
"030104a St. Hanshaugen";"92 years";29
"030104a St. Hanshaugen";"93 years";17
"030104a St. Hanshaugen";"94 years";12
"030104a St. Hanshaugen";"95 years";18
"030104a St. Hanshaugen";"96 years";7
"030104a St. Hanshaugen";"97 years";9
"030104a St. Hanshaugen";"98 years";8
"030104a St. Hanshaugen";"99 years";4
"030104a St. Hanshaugen";"100 years";1
"030104a St. Hanshaugen";"101 years";4
"030104a St. Hanshaugen";"102 years";1
"030104a St. Hanshaugen";"103 years";3
"030104a St. Hanshaugen";"104 years";0
"030104a St. Hanshaugen";"105 years or older";5
"030105a Frogner";"0 years";521
"030105a Frogner";"1 year";429
"030105a Frogner";"2 years";393
"030105a Frogner";"3 years";348
"030105a Frogner";"4 years";332
"030105a Frogner";"5 years";326
"030105a Frogner";"6 years";329
"030105a Frogner";"7 years";319
"030105a Frogner";"8 years";343
"030105a Frogner";"9 years";334
"030105a Frogner";"10 years";324
"030105a Frogner";"11 years";327
"030105a Frogner";"12 years";325
"030105a Frogner";"13 years";322
"030105a Frogner";"14 years";378
"030105a Frogner";"15 years";333
"030105a Frogner";"16 years";378
"030105a Frogner";"17 years";375
"030105a Frogner";"18 years";411
"030105a Frogner";"19 years";450
"030105a Frogner";"20 years";634
"030105a Frogner";"21 years";801
"030105a Frogner";"22 years";1044
"030105a Frogner";"23 years";1273
"030105a Frogner";"24 years";1537
"030105a Frogner";"25 years";1910
"030105a Frogner";"26 years";2067
"030105a Frogner";"27 years";2170
"030105a Frogner";"28 years";2036
"030105a Frogner";"29 years";1852
"030105a Frogner";"30 years";1830
"030105a Frogner";"31 years";1657
"030105a Frogner";"32 years";1398
"030105a Frogner";"33 years";1317
"030105a Frogner";"34 years";1208
"030105a Frogner";"35 years";1084
"030105a Frogner";"36 years";998
"030105a Frogner";"37 years";896
"030105a Frogner";"38 years";894
"030105a Frogner";"39 years";781
"030105a Frogner";"40 years";732
"030105a Frogner";"41 years";759
"030105a Frogner";"42 years";700
"030105a Frogner";"43 years";666
"030105a Frogner";"44 years";710
"030105a Frogner";"45 years";643
"030105a Frogner";"46 years";634
"030105a Frogner";"47 years";589
"030105a Frogner";"48 years";642
"030105a Frogner";"49 years";674
"030105a Frogner";"50 years";635
"030105a Frogner";"51 years";717
"030105a Frogner";"52 years";649
"030105a Frogner";"53 years";688
"030105a Frogner";"54 years";717
"030105a Frogner";"55 years";712
"030105a Frogner";"56 years";705
"030105a Frogner";"57 years";723
"030105a Frogner";"58 years";691
"030105a Frogner";"59 years";680
"030105a Frogner";"60 years";662
"030105a Frogner";"61 years";649
"030105a Frogner";"62 years";564
"030105a Frogner";"63 years";555
"030105a Frogner";"64 years";557
"030105a Frogner";"65 years";559
"030105a Frogner";"66 years";498
"030105a Frogner";"67 years";508
"030105a Frogner";"68 years";457
"030105a Frogner";"69 years";470
"030105a Frogner";"70 years";441
"030105a Frogner";"71 years";416
"030105a Frogner";"72 years";456
"030105a Frogner";"73 years";436
"030105a Frogner";"74 years";419
"030105a Frogner";"75 years";455
"030105a Frogner";"76 years";465
"030105a Frogner";"77 years";521
"030105a Frogner";"78 years";431
"030105a Frogner";"79 years";378
"030105a Frogner";"80 years";391
"030105a Frogner";"81 years";246
"030105a Frogner";"82 years";222
"030105a Frogner";"83 years";232
"030105a Frogner";"84 years";221
"030105a Frogner";"85 years";186
"030105a Frogner";"86 years";151
"030105a Frogner";"87 years";129
"030105a Frogner";"88 years";124
"030105a Frogner";"89 years";96
"030105a Frogner";"90 years";90
"030105a Frogner";"91 years";57
"030105a Frogner";"92 years";62
"030105a Frogner";"93 years";46
"030105a Frogner";"94 years";30
"030105a Frogner";"95 years";29
"030105a Frogner";"96 years";18
"030105a Frogner";"97 years";11
"030105a Frogner";"98 years";15
"030105a Frogner";"99 years";10
"030105a Frogner";"100 years";10
"030105a Frogner";"101 years";3
"030105a Frogner";"102 years";2
"030105a Frogner";"103 years";4
"030105a Frogner";"104 years";3
"030105a Frogner";"105 years or older";11
"030106a Ullern";"0 years";393
